file,date,Label,ID_TUBE,Treatment,Landscape,Replicate,Size,Composition,indiv_per_frame,indiv_per_ul,bioarea_per_frame,bioarea_per_ul,major_mean,major_sd,minor_mean,minor_sd,gross_speed_mean,gross_speed_sd,net_speed_mean,net_speed_sd,sd_turning_mean,Rot,Spi,Ble,Pca,Col,Chi,Tet,Other
sample_00244,5/9/2016,244,244bA,Isolated,Blue,A,45,mixture,44,1.279069767,39265.722,1141.445407,78.80765132,59.17096772,33.71946931,15.8699188,213.9033179,121.3491506,137.0085567,122.0143747,0.628969072,0.589302326,0.040697674,0.110465116,0.225813953,0.049069767,0.212093023,0.04744186,0.004186047
sample_00245,5/9/2016,245,245bA,Isolated,Blue,A,7.5,mixture,59.944,1.74255814,27163.2852,789.6303837,47.41937426,49.42102399,24.37563402,10.17123846,152.9149485,61.99528668,62.96015267,74.34969186,0.667938931,0.416511628,0.070697674,0.145116279,0.016976744,0.036976744,0.978837209,0.029069767,0.048372093
sample_00246,5/9/2016,246,246bA,Isolated,Blue,A,22.5,mixture,57.096,1.659767442,34328.286,997.9152907,64.94476075,53.51852688,29.46177825,14.49222097,186.3355071,103.2390713,111.1229464,108.3578784,0.680446429,0.712093023,0.077209302,0.124651163,0.074186047,0.032325581,0.584651163,0.054651163,0
sample_00247,5/9/2016,247,247bA,Isolated,Blue,A,7.5,mixture,49.864,1.449534884,18998.6472,552.2862558,48.20414833,42.19074261,23.71551951,13.67282703,203.0909451,139.3555979,99.89669118,142.0969206,0.709926471,0.279534884,0.006511628,0.084418605,0.126976744,0.038139535,0.875581395,0.03627907,0.002093023
sample_00248,5/9/2016,248,248bA,Isolated,Blue,A,7.5,mixture,47.424,1.378604651,32121.2628,933.7576395,65.31766917,52.12966799,29.72445192,14.53396924,204.0508513,152.0874042,119.0362931,164.1019497,0.756206897,0.556976744,0.051627907,0.124651163,0.144883721,0.102325581,0.384651163,0.00372093,0.009767442
sample_00249,5/9/2016,249,249bA,Isolated,Blue,A,7.5,mixture,51.016,1.483023256,24966.2412,725.7628256,52.94944749,47.90807562,25.79892262,14.14918704,189.7322664,149.6876232,95.67689922,156.6272189,0.721317829,0.374651163,0.038372093,0.105116279,0.11,0.005116279,0.835813953,0.004186047,0.009767442
sample_00250,5/9/2016,250,250bA,Isolated,Blue,A,7.5,mixture,62.288,1.810697674,36468.5004,1060.130826,57.76839229,51.17805124,26.71303034,14.03481411,189.5213988,122.4527298,98.52726027,131.3102762,0.676506849,0.580232558,0.083023256,0.121860465,0.116976744,0.043255814,0.764418605,0.063488372,0.03744186
sample_00251,5/9/2016,251,251bA,Isolated,Blue,A,45,mixture,51.432,1.495116279,51540.6564,1498.274895,89.7209046,52.51799109,36.84256157,15.79329801,208.9551527,98.04816026,150.4971264,120.9633661,0.574712644,0.810232558,0.032093023,0.376976744,0.056744186,0.083255814,0.128139535,0,0.007674419
sample_00252,5/9/2016,252,252bA,Isolated,Blue,A,45,mixture,57.104,1.66,47352.924,1376.538488,66.71928162,59.06109037,29.39122155,17.19835289,213.866505,144.3913932,121.506,148.6535906,0.690814815,0.575348837,0.05744186,0.18744186,0.227209302,0.083488372,0.518372093,0,0.010697674
sample_00253,5/9/2016,253,253bB,Isolated,Blue,B,7.5,mixture,57.472,1.670697674,36187.0416,1051.948884,64.79775836,61.60617206,27.68840943,14.58252247,203.0594321,130.9784253,121.8412057,136.6232334,0.674184397,0.583023256,0.135581395,0.098372093,0.165813953,0.031860465,0.608139535,0.041162791,0.006744186
